objectid,filename,title,creator,date,description,transcription,subject,location,latitude,longitude,source,format,language,rights,html
album_a12,photo_album_a_012.jpg,Álbum A Página 6 vuelta,Hna. Evanne Hunter,1988-12-01,Página del álbum fotográfico creado por la Hna. Evanne Hunter a partir de sus viajes a El Salvador,[No description],El Salvador; guerra civil; repoblación; solidaridad internacional,Oficina de CRIPDES,13.71174,-89.20557,"Archivo de las Hermanas Loreto de Toronto, Faculty of Information and Media Studies, Western University",image/jpeg,eng,"El uso educativo incluye el uso no comercial de textos e imágenes con fines de enseñanza e investigación. Para cualquier otro uso que exceda el uso gratuito, por favor póngase en contacto con el proyecto Memoria Histórica Sobreviviente en El Salvador de la Posguerra, de la Facultad de Información y Medios de la Universidad Western"
album_a13,photo_album_a_013.jpg,Álbum A Página 7,Hna. Evanne Hunter,1988-12-01,Página del álbum fotográfico creado por la Hna. Evanne Hunter a partir de sus viajes a El Salvador,,El Salvador; guerra civil; repoblación; solidaridad internacional,Oficina de CRIPDES,13.71174,-89.20557,"Archivo de las Hermanas Loreto de Toronto, Faculty of Information and Media Studies, Western University",image/jpeg,eng,"El uso educativo incluye el uso no comercial de textos e imágenes con fines de enseñanza e investigación. Para cualquier otro uso que exceda el uso gratuito, por favor póngase en contacto con el proyecto Memoria Histórica Sobreviviente en El Salvador de la Posguerra, de la Facultad de Información y Medios de la Universidad Western"
album_a14,photo_album_a_014.jpg,Álbum A Página 7 vuelta,Hna. Evanne Hunter,1988-12-01,Página del álbum fotográfico creado por la Hna. Evanne Hunter a partir de sus viajes a El Salvador,"[Handwritten] Wife and child of a man who was captured in his village yesterday - Salvadoran journalists at CRIPDES office to interview delegates from US, Canada, and Europe",El Salvador; guerra civil; repoblación; solidaridad internacional,Oficina de CRIPDES,13.71174,-89.20557,"Archivo de las Hermanas Loreto de Toronto, Faculty of Information and Media Studies, Western University",image/jpeg,eng,"El uso educativo incluye el uso no comercial de textos e imágenes con fines de enseñanza e investigación. Para cualquier otro uso que exceda el uso gratuito, por favor póngase en contacto con el proyecto Memoria Histórica Sobreviviente en El Salvador de la Posguerra, de la Facultad de Información y Medios de la Universidad Western"
album_a15,photo_album_a_015.jpg,Álbum A Página 8,Hna. Evanne Hunter,1988-12-01,Página del álbum fotográfico creado por la Hna. Evanne Hunter a partir de sus viajes a El Salvador,[Handwritten] Arrival in El Barillo [Barío] - Twinned with SSND - Tent is home to refugees trying to repopulate La Bermuda. Salvadoran military will not let them pass,El Salvador; guerra civil; repoblación; solidaridad internacional,El Barío,13.95175,-89.05973,"Archivo de las Hermanas Loreto de Toronto, Faculty of Information and Media Studies, Western University",image/jpeg,eng,"El uso educativo incluye el uso no comercial de textos e imágenes con fines de enseñanza e investigación. Para cualquier otro uso que exceda el uso gratuito, por favor póngase en contacto con el proyecto Memoria Histórica Sobreviviente en El Salvador de la Posguerra, de la Facultad de Información y Medios de la Universidad Western"
album_a16,photo_album_a_016.jpg,Álbum A Página 8 vuelta,Hna. Evanne Hunter,1988-12-01,Página del álbum fotográfico creado por la Hna. Evanne Hunter a partir de sus viajes a El Salvador,"[Handwritten] El Barillo, Dec 1988",El Salvador; guerra civil; repoblación; solidaridad internacional,El Barío,13.95175,-89.05973,"Archivo de las Hermanas Loreto de Toronto, Faculty of Information and Media Studies, Western University",image/jpeg,eng,"El uso educativo incluye el uso no comercial de textos e imágenes con fines de enseñanza e investigación. Para cualquier otro uso que exceda el uso gratuito, por favor póngase en contacto con el proyecto Memoria Histórica Sobreviviente en El Salvador de la Posguerra, de la Facultad de Información y Medios de la Universidad Western"
album_a17,photo_album_a_017.jpg,Álbum A Página 9,Hna. Evanne Hunter,1988-12-01,Página del álbum fotográfico creado por la Hna. Evanne Hunter a partir de sus viajes a El Salvador,,El Salvador; guerra civil; repoblación; solidaridad internacional,El Barío,13.95175,-89.05973,"Archivo de las Hermanas Loreto de Toronto, Faculty of Information and Media Studies, Western University",image/jpeg,eng,"El uso educativo incluye el uso no comercial de textos e imágenes con fines de enseñanza e investigación. Para cualquier otro uso que exceda el uso gratuito, por favor póngase en contacto con el proyecto Memoria Histórica Sobreviviente en El Salvador de la Posguerra, de la Facultad de Información y Medios de la Universidad Western"
album_a18,photo_album_a_018.jpg,Álbum A Página 9 vuelta,Hna. Evanne Hunter,1988-12-01,Página del álbum fotográfico creado por la Hna. Evanne Hunter a partir de sus viajes a El Salvador,[Handwritten] Broken tractor… no parts available. Murray got them and sent them from Windsor when he got home. ,El Salvador; guerra civil; repoblación; solidaridad internacional,El Barío,13.95175,-89.05973,"Archivo de las Hermanas Loreto de Toronto, Faculty of Information and Media Studies, Western University",image/jpeg,eng,"El uso educativo incluye el uso no comercial de textos e imágenes con fines de enseñanza e investigación. Para cualquier otro uso que exceda el uso gratuito, por favor póngase en contacto con el proyecto Memoria Histórica Sobreviviente en El Salvador de la Posguerra, de la Facultad de Información y Medios de la Universidad Western"
album_a19,photo_album_a_019.jpg,Álbum A Página 10,Hna. Evanne Hunter,1988-12-01,Página del álbum fotográfico creado por la Hna. Evanne Hunter a partir de sus viajes a El Salvador,[Handwritten] Typical home Siesta,El Salvador; guerra civil; repoblación; solidaridad internacional,El Barío,13.95175,-89.05973,"Archivo de las Hermanas Loreto de Toronto, Faculty of Information and Media Studies, Western University",image/jpeg,eng,"El uso educativo incluye el uso no comercial de textos e imágenes con fines de enseñanza e investigación. Para cualquier otro uso que exceda el uso gratuito, por favor póngase en contacto con el proyecto Memoria Histórica Sobreviviente en El Salvador de la Posguerra, de la Facultad de Información y Medios de la Universidad Western"
album_a20,photo_album_a_020.jpg,Álbum A Página 10 vuelta,Hna. Evanne Hunter,1988-12-01,Página del álbum fotográfico creado por la Hna. Evanne Hunter a partir de sus viajes a El Salvador,[Handwritten] SSND sponsored project = chicken coop,El Salvador; guerra civil; repoblación; solidaridad internacional,El Barío,13.95175,-89.05973,"Archivo de las Hermanas Loreto de Toronto, Faculty of Information and Media Studies, Western University",image/jpeg,eng,"El uso educativo incluye el uso no comercial de textos e imágenes con fines de enseñanza e investigación. Para cualquier otro uso que exceda el uso gratuito, por favor póngase en contacto con el proyecto Memoria Histórica Sobreviviente en El Salvador de la Posguerra, de la Facultad de Información y Medios de la Universidad Western"
album_a21,photo_album_a_021.jpg,Álbum A Página 11,Hna. Evanne Hunter,1988-12-01,Página del álbum fotográfico creado por la Hna. Evanne Hunter a partir de sus viajes a El Salvador,[Handwritten] Preparing cashew for roasting.,El Salvador; guerra civil; repoblación; solidaridad internacional,El Barío,13.95175,-89.05973,"Archivo de las Hermanas Loreto de Toronto, Faculty of Information and Media Studies, Western University",image/jpeg,eng,"El uso educativo incluye el uso no comercial de textos e imágenes con fines de enseñanza e investigación. Para cualquier otro uso que exceda el uso gratuito, por favor póngase en contacto con el proyecto Memoria Histórica Sobreviviente en El Salvador de la Posguerra, de la Facultad de Información y Medios de la Universidad Western"
